path	audit_disposition
docs/IMAGE-CANDIDATE-ARCHIVE-STORE-PROTOCOL-V1.md	reviewed; current prose/references reconciled
docs/IMAGE-CANDIDATE-DIAGNOSTIC-PROTOCOL-V4.md	reviewed; no correction required
docs/IMAGE-CANDIDATE-PROTOCOL-V2.md	reviewed; no correction required
docs/IMAGE-CANDIDATE-TEST-PROTOCOL-V3.md	reviewed; no correction required
docs/IMAGE-CANDIDATE-TEST-TASKS-V1.md	reviewed; current prose/references reconciled
docs/IMAGE-MCP-ADAPTER-V1.md	reviewed; no correction required
docs/IMAGE-OPENAPI-ARTIFACTS-V1.md	reviewed; current prose/references reconciled
docs/IMAGE-PACKAGED-TYPESCRIPT-WORKFLOW-SDK-V1.md	reviewed; no correction required
docs/IMAGE-PARALLEL-CANDIDATE-READS-V1.md	reviewed; no correction required
docs/IMAGE-PARALLEL-READS-V1.md	reviewed; no correction required
docs/IMAGE-PROTOCOL-CONFORMANCE-V1.md	reviewed; no correction required
docs/IMAGE-READ-BATCH-PROTOCOL-V1.md	reviewed; no correction required
docs/IMAGE-RETAINED-SUBJECTS-V1.md	reviewed; current prose/references reconciled
docs/IMAGE-SOURCE-COMMIT-PROTOCOL-V5.md	reviewed; current prose/references reconciled
docs/IMAGE-SUPPORTED-PRODUCT-WORKFLOW-V1.md	reviewed; no correction required
docs/IMAGE-SUPPORTED-WORKFLOW-RESPONSE-ACCOUNTABILITY-V1.md	reviewed; current prose/references reconciled
docs/IMAGE-TARGET-ARTIFACTS-V1.md	reviewed; no correction required
docs/IMAGE-TYPED-REQUEST-CLIENTS-V1.md	reviewed; current prose/references reconciled
docs/IMAGE-TYPED-RESPONSE-CLIENTS-V1.md	reviewed; current prose/references reconciled
docs/IMAGE-WORKSPACE-ARCHIVE-RECOVERY-V1.md	reviewed; no correction required
docs/IMAGE-WORKSPACE-FRONTEND-CACHE-V1.md	reviewed; no correction required
docs/IMAGE-WORKSPACE-PROTOCOL-V5.md	reviewed; no correction required
docs/INSTALL.md	reviewed; current prose/references reconciled
docs/INSTALLED-AGENT-GUIDANCE-V1.md	reviewed; current prose/references reconciled
docs/INSTALLED-DIAGNOSTICS-V1.md	reviewed; current prose/references reconciled
docs/INSTALLED-FIX-PLAN-V1.md	reviewed; current prose/references reconciled
docs/INTERFACE-ARTIFACT-FACTS-V1.md	reviewed; current prose/references reconciled
docs/INTERPRETER-INTERNAL-STRINGS-V1.md	reviewed; no correction required
docs/INTERPRETER-V1.md	reviewed; no correction required
docs/IO-CURSORS-V1.md	reviewed; no correction required
docs/JSON-CURSORS-V1.md	reviewed; no correction required
docs/LANGUAGE-NATIVE-AGENT-LOWERING-V1.md	reviewed; current prose/references reconciled
docs/LANGUAGE-NATIVE-AGENT-OBJECT-V1.md	reviewed; current prose/references reconciled
docs/LANGUAGE-NATIVE-AGENT-SYNTAX-V1.md	reviewed; no correction required
docs/LANGUAGE-SHAPES-CATALOG.json	compiler-embedded; preserved byte-for-byte
docs/LANGUAGE-SHAPES-CATALOG.md	compiler-embedded; preserved byte-for-byte
docs/LANGUAGE-TOUR.md	reviewed; no correction required
docs/LOG-WRITER-V1.md	reviewed; no correction required
docs/MIGRATIONS.md	reviewed; no correction required
docs/NATIVE-ADAPTER-DESCRIPTOR-V1.md	reviewed; no correction required
docs/NATIVE-CALLABLE-ABI-V2.md	reviewed; no correction required
docs/NATIVE-CALLABLE-ABI-V3.md	reviewed; no correction required
docs/NATIVE-CALLABLE-SETTLEMENT-PROOF-V1.md	reviewed; no correction required
docs/NATIVE-CAPABILITY-TOKENS-V1.md	reviewed; no correction required
docs/NATIVE-INLINE-STRING-SETTLEMENT-V1.md	reviewed; current prose/references reconciled
docs/NATIVE-MODULE-LOADER.md	reviewed; no correction required
docs/NATIVE-OWNED-DATA-STRING-SETTLEMENT-V1.md	reviewed; current prose/references reconciled
docs/NATIVE-RUST-INTEROP-V1.md	reviewed; current prose/references reconciled
docs/NATIVE-SCRATCH-V1.md	reviewed; current prose/references reconciled
docs/NATIVE-STRING-CONTENTS-V1.md	reviewed; current prose/references reconciled
docs/NESTED-OWNED-BYTE-RECORDS-V1.md	reviewed; no correction required
docs/NESTED-OWNED-RECORD-DESTRUCTURING-V1.md	reviewed; no correction required
docs/NESTED-OWNED-RECORD-UPDATE-V1.md	reviewed; no correction required
docs/NEW-PROJECT-PUBLICATION-V1.md	reviewed; current prose/references reconciled
docs/NEW-PROJECT-STANDALONE-V1.md	reviewed; no correction required
docs/OFFLINE-LINKED-SCALAR-WASM-PACKAGE-BUILD-V2.md	reviewed; current prose/references reconciled
docs/OFFLINE-MULTI-PACKAGE-SOURCE-CAPSULE-V1.md	reviewed; current prose/references reconciled
docs/OFFLINE-PACKAGE-COMPATIBILITY-EVIDENCE-V1.md	reviewed; current prose/references reconciled
docs/OFFLINE-PACKAGE-LOCK-V1.md	reviewed; current prose/references reconciled
docs/OFFLINE-PACKAGE-RESOLVER-V1.md	reviewed; current prose/references reconciled
docs/OFFLINE-PACKAGE-RESOLVER-V2.md	reviewed; current prose/references reconciled
docs/OFFLINE-PUBLISHED-SEMANTIC-LOCK-SNAPSHOT-V1.md	reviewed; current prose/references reconciled
docs/OFFLINE-PURE-WASM-PACKAGE-BUILD-V1.md	reviewed; current prose/references reconciled
docs/OFFLINE-SEMANTIC-PACKAGE-LOCK-V2.md	reviewed; current prose/references reconciled
docs/OFFLINE-SEMANTIC-PACKAGE-LOCK-V3.md	reviewed; current prose/references reconciled
docs/OPENAPI-V1.md	reviewed; no correction required
docs/OWNED-BOUNDED-BOX-V1.md	reviewed; no correction required
docs/OWNED-BOUNDED-BOX-V2.md	reviewed; no correction required
docs/OWNED-BOUNDED-BYTE-BUFFER-V1.md	reviewed; no correction required
docs/OWNED-BOUNDED-VEC-FOR-TRAVERSAL-V1.md	reviewed; no correction required
docs/OWNED-BOUNDED-VEC-V1.md	reviewed; no correction required
docs/OWNED-BOUNDED-VEC-V2.md	reviewed; no correction required
docs/OWNED-BYTE-RECORD-ALGEBRA-V1.md	reviewed; no correction required
docs/OWNED-BYTE-VARIANT-ALGEBRA-V1.md	reviewed; no correction required
docs/OWNED-NPM-INVOCATION-V1.md	reviewed; current prose/references reconciled
docs/OWNED-RESOURCE-VERTICAL-V1.md	reviewed; no correction required
docs/OWNED-STRING-BORROWED-VIEW-V1.md	reviewed; no correction required
docs/OWNING-ITERATOR-LOOPS-V1.md	reviewed; no correction required
docs/OWNING-ITERATOR-PAYLOADS-V2.md	reviewed; no correction required
docs/OWNING-ITERATOR-RENEWAL-V1.md	reviewed; no correction required
docs/OWNING-ITERATORS-V1.md	reviewed; no correction required
docs/PACKAGE-MANIFEST-V1.md	reviewed; no correction required
docs/PACKAGE-REPORT-V1.md	reviewed; current prose/references reconciled
docs/PACKAGE-REPORT-V2.md	reviewed; current prose/references reconciled
docs/PACKAGE-SEMANTIC-GRAPH-V1.md	reviewed; current prose/references reconciled
docs/PERSISTENT-INCREMENTAL-SEMANTIC-SERVICE-V1.md	reviewed; no correction required
docs/PERSISTENT-SEMANTIC-CACHE-V1.md	reviewed; current prose/references reconciled
docs/PERSISTENT-SEMANTIC-SERVICE-MCP-V1.md	reviewed; no correction required
docs/PERSISTENT-SEMANTIC-SERVICE-TRANSPORT-V1.md	reviewed; no correction required
docs/PLUGIN-MANIFEST-V1.md	reviewed; current prose/references reconciled
docs/PORTABLE-INDEXED-BYTE-DATA-V1.md	reviewed; no correction required
docs/PROGRAM-ROOT-DEPENDENCY-LOCK-ASSOCIATION-V1.md	reviewed; no correction required
docs/PROGRAM-ROOT-V1.md	reviewed; current prose/references reconciled
docs/PROGRAM-ROOT-V2.md	reviewed; no correction required
docs/PROGRAM-ROOT-V3.md	reviewed; no correction required
docs/PROJECT-AGENT-TRANSPORT-V2.md	reviewed; current prose/references reconciled
docs/PROJECT-AGENT-TRANSPORT-V5.md	reviewed; no correction required
docs/PROJECT-AGENT-TRANSPORT-V6-SDK-V1.md	reviewed; no correction required
docs/PROJECT-AGENT-TRANSPORT-V6.md	reviewed; no correction required
docs/PROJECT-AGENT-WORKFLOW-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-AGGREGATE-CONSTRUCTORS-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-BUILTIN-CALL-CONSTRUCTOR-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-ABI-DELTA-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-ANALYSIS-ARTIFACT-EVIDENCE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-ANALYSIS-COVERAGE-CHANGE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-ANALYSIS-COVERAGE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-ANALYSIS-EVIDENCE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-ANALYSIS-RUNTIME-EVIDENCE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-ARCHIVE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-ARTIFACT-DELTA-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-BLIND-SPOT-DECLARATIONS-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-CONTRACT-DELTA-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-CONTRACT-HOLES-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-DEPENDENCY-NAVIGATION-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-DIAGNOSTICS-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-DRAFT-ARCHIVE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-DRAFT-MERGE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-DRAFT-REBASE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-DRAFT-RECOVERY-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-ENVIRONMENT-CONSUMER-REVIEW-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-ENVIRONMENT-REVIEW-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-EXPRESSION-HOLES-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-EXTERNAL-API-CONTRACT-DELTA-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-FUNCTION-FACETS-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-FUNCTION-REFERENCE-REBIND-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-GIT-PUBLICATION-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-HOLES-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-IMPACT-NAVIGATION-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-INTERFACE-DELTA-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-MERGE-PREVIEW-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-OWNERSHIP-DELTA-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-PACKAGE-CONSUMER-MIGRATION-V1.md	reviewed; no correction required
docs/PROJECT-CANDIDATE-PACKAGE-CONSUMER-REPLAY-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-PUBLICATION-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-REBASE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-RECOVERY-V1.md	reviewed; no correction required
docs/PROJECT-CANDIDATE-SEMANTIC-DELTA-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-SOURCE-REVIEW-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-SYMBOL-DIAGNOSTICS-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATE-TESTS-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-CANDIDATES-V1.md	reviewed; no correction required
docs/PROJECT-CONTRACT-CHANGE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-DECLARATION-CHANGE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-DECLARATION-MOVE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-DEPENDENCIES-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-DEPENDENCY-RESOLUTION-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-DIAGNOSTIC-CHANGE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-DRAFT-EXPRESSION-CATALOG-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-EXPRESSION-CHANGE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-EXTRACTION-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-FIELD-PLACE-CONSTRUCTOR-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-FRONTEND-CACHE-V1.md	reviewed; no correction required
docs/PROJECT-GENERIC-RENAME-V1.md	reviewed; no correction required
docs/PROJECT-GRAPH-OPERATIONAL-GIT-WORKFLOW-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-GRAPH-OPERATIONAL-WORKFLOW-V1.md	reviewed; no correction required
docs/PROJECT-HOLE-FILL-SUGGESTIONS-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-HOLE-NAVIGATION-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-INTERFACE-CHANGE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-LEXICAL-BINDING-CONSTRUCTOR-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-LINKED-AGENT-LIFECYCLE-V1.md	reviewed; no correction required
docs/PROJECT-LINKED-AGENT-MIGRATION-V1.md	reviewed; no correction required
docs/PROJECT-LITERAL-CONSTRUCTORS-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-LOCK-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-MANIFEST-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-MANIFEST-V16.md	reviewed; no correction required
docs/PROJECT-MANIFEST-V18.md	reviewed; no correction required
docs/PROJECT-MANIFEST-V2.md	reviewed; no correction required
docs/PROJECT-MANIFEST-V3.md	reviewed; no correction required
docs/PROJECT-MANIFEST-V4.md	reviewed; no correction required
docs/PROJECT-MANIFEST-V5.md	reviewed; no correction required
docs/PROJECT-MEMBER-RENAME-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-NOMINAL-RENAME-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-OWNING-CAPTURE-EXTRACTION-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-PREPARED-INTERPRETER-V1.md	reviewed; no correction required
docs/PROJECT-PREPARED-REVISION-REPLACEMENT-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-PROFILE-ADMISSION-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-RECORD-FIELD-CHANGE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-RENAME-TRANSACTION-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-REVISION-STORE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-REVISION-STORE-WINDOWS-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-SCAFFOLD-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-SCAFFOLD-V2.md	reviewed; no correction required
docs/PROJECT-SCAFFOLD-V3.md	reviewed; no correction required
docs/PROJECT-SCALAR-LITERAL-CONSTRUCTORS-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-SEMANTIC-CACHE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-SIGNATURE-ARGUMENT-EXPRESSIONS-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-SIGNATURE-EVOLUTION-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-SIGNATURE-OWNED-RESULT-WRAP-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-TARGET-CACHE-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-TEST-CASES-V1.md	reviewed; current prose/references reconciled
docs/PROJECT-V8-PROMOTION-RECEIPT-V1.md	reviewed; no correction required
docs/PROJECT-VARIANT-CASE-CHANGE-V1.md	reviewed; current prose/references reconciled
docs/PROJECTED-OWNED-BYTE-FIELD-BORROW-V1.md	reviewed; current prose/references reconciled
docs/PROJECTED-OWNED-BYTES-BORROWED-CALL-V1.md	reviewed; current prose/references reconciled
docs/PROPERTY-TESTS-V1.md	reviewed; no correction required
docs/PUBLIC-CXX-OWNED-DATA-PACKAGE-V1.md	reviewed; no correction required
docs/PUBLIC-FLAT-OWNED-RECORD-API-V1.md	reviewed; current prose/references reconciled
docs/PUBLIC-FLAT-OWNED-RECORD-CXX-ADAPTER-V1.md	reviewed; no correction required
docs/PUBLIC-NESTED-OWNED-RECORD-API-V1.md	reviewed; current prose/references reconciled
docs/PUBLIC-OWNED-DATA-API-V1.md	reviewed; current prose/references reconciled
docs/PUBLIC-OWNED-UTF8-API-V1.md	reviewed; current prose/references reconciled
docs/PUBLIC-SCALAR-WIT-INTERFACE-V1.md	reviewed; no correction required
docs/QUALITY-GATES.md	reviewed; current prose/references reconciled
docs/QUICKSTART.md	reviewed; no correction required
docs/REFUTABLE-MATCH-V1.md	reviewed; no correction required
docs/REGION-REPORT-V1.md	reviewed; no correction required
docs/RELEASE-0.4.0-STATUS.md	reviewed; no correction required
docs/RELEASE-PROCESS.md	reviewed; current prose/references reconciled
docs/RFC-0001.md	reviewed; no correction required
docs/RFC-0002-ALGEBRAIC-DATA.md	reviewed; current prose/references reconciled
docs/RFC-0003-CLEANUP-AND-RESOURCE-ABI.md	reviewed; current prose/references reconciled
docs/RFC-0004-NATIVE-CALL-SETTLEMENT.md	reviewed; no correction required
docs/RFC-STRING-OO.md	reviewed; no correction required
docs/ROADMAP.md	reviewed; current prose/references reconciled
docs/RUST-HOST-SANITIZERS.md	reviewed; no correction required
docs/SCOPED-TASKS-V1.md	reviewed; current prose/references reconciled
docs/SEMANTIC-CACHE-STORE-V1.md	reviewed; no correction required
docs/SEMANTIC-IMAGE-ANALYSIS-COVERAGE-V1.md	reviewed; no correction required
docs/SEMANTIC-IMAGE-CLEANUP-DEPENDENCIES-V1.md	reviewed; current prose/references reconciled
docs/SEMANTIC-IMAGE-DEPENDENCIES-V1.md	reviewed; no correction required
